subject_id,group,roi,category_id,parameter_estimate
sub-17,logicians,left_IPS,3,6.06711840629578
sub-18,logicians,left_IPS,3,2.14256688952446
sub-19,logicians,left_IPS,3,9.41198778152466
sub-21,logicians,left_IPS,3,3.27788686752319
sub-03,logicians,left_IPS,4,-0.0695745944976807
sub-06,logicians,left_IPS,4,0.628216028213501
sub-07,logicians,left_IPS,4,-1.18909250199795
sub-08,logicians,left_IPS,4,-5.23344373703003
sub-09,logicians,left_IPS,4,1.67885705828667
sub-10,logicians,left_IPS,4,2.40285235643387
sub-14,logicians,left_IPS,4,-1.85738605260849
sub-16,logicians,left_IPS,4,10.0609374046326
sub-17,logicians,left_IPS,4,2.58102786540985
sub-18,logicians,left_IPS,4,-1.62130343914032
sub-19,logicians,left_IPS,4,5.86426448822021
sub-21,logicians,left_IPS,4,1.65906035900116
sub-03,logicians,left_IPS,5,-1.78214186429977
sub-06,logicians,left_IPS,5,-1.13111585751176
sub-07,logicians,left_IPS,5,4.16359570622444
sub-08,logicians,left_IPS,5,-6.78281188011169
sub-09,logicians,left_IPS,5,1.39663574099541
sub-10,logicians,left_IPS,5,1.7989544570446
sub-14,logicians,left_IPS,5,-1.55738878250122
sub-16,logicians,left_IPS,5,7.91010737419128
sub-17,logicians,left_IPS,5,0.62235164642334
sub-18,logicians,left_IPS,5,1.59837435930967
sub-19,logicians,left_IPS,5,6.01056551933289
sub-21,logicians,left_IPS,5,-1.00711426138878
sub-03,logicians,left_IPS,6,-0.966922028921545
sub-06,logicians,left_IPS,6,-0.426522493362427
sub-07,logicians,left_IPS,6,1.31369584798813
sub-08,logicians,left_IPS,6,-5.07156801223755
sub-09,logicians,left_IPS,6,1.19334542751312
sub-10,logicians,left_IPS,6,2.76219710707664
sub-14,logicians,left_IPS,6,0.254790157079697
sub-16,logicians,left_IPS,6,11.2465453147888
sub-17,logicians,left_IPS,6,2.43255233764648
sub-18,logicians,left_IPS,6,2.43584358692169
sub-19,logicians,left_IPS,6,-0.760809391736984
sub-21,logicians,left_IPS,6,2.71818089485168
